Loan_ID,Industry_Type,Revenue (in $M),Debt-to-Equity Ratio,Credit_Score,Green_Energy_Investment (in $M),Energy_Efficiency_Score,Environmental_Certification,Loan_Amount (in $M),ROI (%),Project_Completion_Time (in months),Operational_Costs (in $M),Risk_Level,Energy_Capacity (MW),Approval_Status,Project_Impact,Risk_Assessment,Governance_Structure
LOAN-0023,Agriculture,474.47,0.58,391,170.18,2,Yes,27.03,18.8,6,18.74,Medium,9.32,Rejected,Low,Moderate,Centralized
LOAN-0024,Technology,239.19,1.61,501,141.64,36,Yes,83.62,24.68,36,31.77,Low,373.46,Rejected,Low,Severe,Community-driven
LOAN-0025,Technology,267.72,1.95,349,3.03,72,No,17.76,3.51,29,8.58,Low,172.99,Rejected,Low,Severe,Centralized
LOAN-0026,Agriculture,449.83,0.33,317,176.23,40,No,71.02,24.95,17,35.17,Low,198.15,Rejected,Low,Minimal,Community-driven
LOAN-0027,Agriculture,388.33,1.31,474,139.8,64,Yes,47.87,13.6,36,11.85,High,324.63,Rejected,Medium,Severe,Community-driven
LOAN-0028,Agriculture,288.29,2.09,782,14.84,68,Yes,6.42,1.09,33,9.19,Medium,269.26,Rejected,Low,Moderate,Community-driven
LOAN-0029,Technology,280.54,0.73,368,187.54,60,Yes,15.21,24.1,33,47.97,High,432.7,Rejected,Medium,Severe,Centralized
LOAN-0030,Renewable Energy,499.11,2.06,479,29.86,6,No,72.55,23.57,33,49.82,High,234.48,Rejected,Low,Severe,Centralized
LOAN-0031,Technology,462.96,1.16,640,91.45,52,Yes,32.26,4.9,11,45.98,High,283.59,Rejected,Low,Severe,Community-driven
LOAN-0032,Construction,304.55,2.38,300,147.84,43,Yes,13.68,5.22,19,32.12,Medium,372.07,Approved,Low,Moderate,Community-driven
LOAN-0033,Technology,69.63,2.45,366,194.31,53,Yes,66.54,3.08,26,49.4,Medium,235.0,Rejected,Low,Moderate,Decentralized
LOAN-0034,Construction,96.88,1.61,526,104.51,29,Yes,12.73,17.05,12,32.33,Low,68.21,Rejected,Low,Severe,Centralized
LOAN-0035,Agriculture,181.11,2.84,639,138.45,2,No,11.64,4.26,22,42.68,Low,318.91,Rejected,Low,Severe,Decentralized
LOAN-0036,Healthcare,12.57,0.93,455,198.54,2,No,52.93,9.44,25,16.21,Medium,433.14,Rejected,Low,Moderate,Community-driven
LOAN-0037,Construction,88.93,0.17,623,176.91,40,Yes,93.92,13.79,13,10.69,Low,325.03,Rejected,Low,Minimal,Centralized
LOAN-0038,Technology,271.22,1.7,366,47.2,66,No,87.77,1.38,13,4.13,Medium,60.83,Rejected,Low,Moderate,Centralized
LOAN-0039,Technology,305.3,1.13,636,133.77,87,No,75.92,10.16,32,13.28,Medium,328.99,Approved,High,Moderate,Centralized
LOAN-0040,Construction,146.99,0.75,809,30.22,80,No,56.32,1.15,16,10.47,Medium,473.11,Rejected,Low,Moderate,Community-driven
LOAN-0041,Healthcare,219.44,2.68,738,43.36,84,No,65.11,23.29,14,26.21,High,169.95,Rejected,High,Severe,Centralized
LOAN-0042,Agriculture,267.22,1.25,817,121.88,59,No,50.06,24.46,32,25.75,Low,368.58,Approved,Medium,Severe,Centralized
LOAN-0043,Technology,70.79,1.81,473,158.01,74,Yes,87.78,-4.51,9,34.86,Low,186.66,Rejected,Low,Severe,Community-driven
LOAN-0044,Healthcare,92.62,2.24,445,80.22,5,Yes,53.92,21.81,15,3.54,Medium,355.47,Rejected,Low,Moderate,Decentralized
LOAN-0045,Agriculture,190.37,0.75,724,44.71,16,Yes,64.2,12.92,14,21.92,High,375.6,Rejected,Low,Severe,Centralized
LOAN-0046,Construction,389.37,1.22,661,39.22,61,No,38.91,20.05,36,42.42,Medium,378.98,Rejected,Medium,Moderate,Community-driven
LOAN-0047,Renewable Energy,199.55,1.95,642,153.05,88,No,29.32,18.5,22,25.88,Low,370.72,Rejected,High,Severe,Centralized
LOAN-0048,Healthcare,434.23,1.97,646,170.41,48,No,32.44,16.39,36,45.59,Medium,48.11,Rejected,Low,Moderate,Community-driven
LOAN-0049,Healthcare,289.75,2.78,694,13.69,92,No,38.13,-1.04,16,39.18,Medium,462.57,Rejected,Low,Moderate,Community-driven
LOAN-0050,Healthcare,165.63,1.5,321,106.08,7,No,65.78,21.69,19,39.83,High,165.45,Rejected,Low,Severe,Decentralized
LOAN-0051,Technology,279.45,2.89,833,97.03,29,Yes,64.86,13.16,24,17.69,Low,91.75,Rejected,Low,Severe,Centralized
LOAN-0052,Renewable Energy,282.33,0.5,568,50.97,17,Yes,78.78,21.41,13,37.57,Medium,20.6,Rejected,Low,Moderate,Community-driven
LOAN-0053,Agriculture,265.12,0.81,744,165.16,3,Yes,75.33,3.33,24,7.07,Low,274.12,Approved,Low,Minimal,Community-driven
LOAN-0054,Agriculture,88.86,0.74,306,101.15,20,Yes,34.13,24.44,6,44.94,Medium,156.9,Approved,Low,Moderate,Decentralized
LOAN-0055,Technology,160.9,2.48,652,162.32,92,Yes,9.94,24.14,16,42.13,Medium,475.07,Rejected,High,Moderate,Decentralized
LOAN-0056,Renewable Energy,393.36,0.22,813,195.38,91,No,46.49,24.83,29,22.86,Medium,348.47,Rejected,High,Moderate,Community-driven
LOAN-0057,Healthcare,414.71,1.26,312,82.45,56,No,40.84,11.12,19,20.32,Medium,426.97,Rejected,Medium,Moderate,Centralized
LOAN-0058,Healthcare,325.62,1.83,498,116.86,44,Yes,38.81,-3.43,25,5.8,Medium,201.71,Rejected,Low,Moderate,Community-driven
LOAN-0059,Renewable Energy,394.17,1.06,792,118.24,74,Yes,95.01,-2.1,10,12.04,Medium,235.65,Rejected,Low,Moderate,Decentralized
LOAN-0060,Renewable Energy,323.28,0.53,477,102.63,36,Yes,91.96,23.36,11,35.07,Low,203.41,Rejected,Low,Minimal,Decentralized
LOAN-0061,Technology,77.3,1.33,455,131.66,52,No,86.39,5.03,30,22.37,Medium,474.68,Rejected,Medium,Moderate,Community-driven
LOAN-0062,Technology,300.4,0.51,560,85.71,39,Yes,81.17,9.68,19,48.94,High,262.32,Rejected,Low,Severe,Decentralized
LOAN-0063,Healthcare,374.0,2.59,640,61.64,31,Yes,58.44,23.51,20,18.97,Medium,15.18,Approved,Low,Moderate,Centralized
LOAN-0064,Healthcare,149.97,1.07,809,100.34,21,Yes,43.06,19.32,10,22.72,Low,95.74,Rejected,Low,Severe,Decentralized
LOAN-0065,Agriculture,475.5,1.78,501,51.56,71,No,74.38,24.07,24,18.09,Medium,286.52,Rejected,High,Moderate,Decentralized
LOAN-0066,Technology,291.3,2.78,431,93.49,25,Yes,57.23,-4.01,26,10.88,High,247.87,Approved,Low,Severe,Community-driven
LOAN-0067,Technology,269.45,0.26,595,183.37,53,Yes,69.41,0.2,28,33.22,Medium,199.3,Rejected,Low,Moderate,Decentralized
LOAN-0068,Construction,152.62,1.63,450,55.22,43,No,57.27,-1.58,24,30.49,Medium,483.33,Rejected,Low,Moderate,Decentralized
LOAN-0069,Renewable Energy,367.36,2.76,397,35.22,73,Yes,70.21,-0.84,36,23.13,Low,454.49,Rejected,Low,Severe,Community-driven
LOAN-0070,Renewable Energy,194.07,0.6,489,17.34,91,Yes,11.1,12.42,29,44.04,Low,49.52,Rejected,High,Minimal,Decentralized
LOAN-0071,Technology,185.54,0.13,369,143.6,51,Yes,78.19,-2.74,9,13.1,High,462.49,Rejected,Low,Severe,Centralized
LOAN-0072,Construction,440.68,1.99,449,186.22,21,Yes,13.19,2.1,17,27.7,Low,374.65,Rejected,Low,Severe,Community-driven
LOAN-0073,Construction,289.94,2.52,841,119.37,13,Yes,90.39,8.98,28,24.31,Medium,377.56,Rejected,Low,Moderate,Centralized
LOAN-0074,Technology,462.84,1.3,699,30.94,94,No,20.89,19.46,30,10.52,High,314.91,Rejected,High,Severe,Community-driven
LOAN-0075,Healthcare,195.55,2.15,749,1.37,87,No,51.58,4.48,6,29.34,Medium,187.51,Rejected,Low,Moderate,Community-driven
LOAN-0076,Technology,273.72,0.85,662,180.02,7,Yes,21.12,-4.37,20,23.79,Low,422.83,Rejected,Low,Minimal,Decentralized
LOAN-0077,Construction,282.8,0.13,825,169.79,59,Yes,81.93,16.41,26,38.44,Medium,83.01,Rejected,Medium,Moderate,Decentralized
LOAN-0078,Technology,451.13,2.67,326,144.71,84,No,94.65,13.69,20,37.49,Medium,228.28,Rejected,High,Moderate,Decentralized
LOAN-0079,Renewable Energy,379.28,0.82,468,4.61,93,Yes,9.79,-2.24,32,14.04,High,341.56,Rejected,Low,Severe,Centralized
LOAN-0080,Renewable Energy,160.97,1.79,837,191.58,41,No,37.19,-2.53,25,22.68,Low,113.92,Rejected,Low,Severe,Community-driven
LOAN-0081,Renewable Energy,332.89,0.86,552,157.98,75,No,18.69,-0.42,28,36.59,High,56.0,Approved,Low,Severe,Decentralized
LOAN-0082,Renewable Energy,412.03,0.87,546,109.12,85,Yes,57.03,3.14,10,31.09,Medium,76.29,Rejected,Low,Moderate,Centralized
LOAN-0083,Agriculture,15.05,0.18,711,164.44,89,Yes,26.25,-0.34,28,40.44,Low,405.39,Rejected,Low,Minimal,Decentralized
LOAN-0084,Agriculture,452.84,0.71,301,82.61,8,Yes,53.02,7.95,30,44.91,High,8.24,Rejected,Low,Severe,Community-driven
LOAN-0085,Agriculture,422.58,2.55,703,156.31,19,No,90.65,-0.48,15,41.39,Medium,168.44,Rejected,Low,Moderate,Community-driven
LOAN-0086,Renewable Energy,210.04,0.42,418,153.13,96,Yes,70.61,13.58,9,14.6,Medium,305.53,Rejected,High,Moderate,Community-driven
LOAN-0087,Agriculture,186.34,0.54,659,120.14,51,No,45.24,12.66,23,16.4,Medium,236.79,Rejected,Medium,Moderate,Centralized
LOAN-0088,Renewable Energy,334.29,1.31,599,163.27,52,Yes,90.76,19.54,15,35.58,Low,219.89,Rejected,Medium,Severe,Community-driven
LOAN-0089,Agriculture,472.21,1.07,783,126.32,100,No,51.71,-3.66,35,45.15,Medium,378.75,Rejected,Low,Moderate,Centralized
LOAN-0090,Construction,118.71,0.78,662,95.69,44,No,45.61,2.0,27,30.44,High,416.52,Rejected,Low,Severe,Community-driven
LOAN-0091,Agriculture,42.53,0.81,708,165.14,37,No,74.56,19.55,22,32.49,Medium,209.51,Rejected,Low,Moderate,Centralized
LOAN-0092,Agriculture,200.79,0.36,414,154.87,64,No,96.99,15.37,12,31.16,Medium,390.81,Approved,Medium,Moderate,Decentralized
LOAN-0093,Healthcare,243.02,2.61,365,177.67,46,Yes,57.65,3.59,26,17.45,Low,197.22,Rejected,Low,Severe,Decentralized
LOAN-0094,Healthcare,49.9,2.76,414,118.98,68,Yes,67.52,13.55,36,36.72,Low,277.28,Rejected,Medium,Severe,Centralized
LOAN-0095,Healthcare,101.01,2.33,803,169.08,31,Yes,58.61,-0.38,13,4.04,High,294.24,Rejected,Low,Severe,Decentralized
LOAN-0096,Renewable Energy,122.07,2.96,829,119.86,42,Yes,79.22,6.82,12,24.24,Medium,6.72,Rejected,Low,Moderate,Centralized
LOAN-0097,Renewable Energy,386.65,2.41,371,101.45,44,Yes,75.27,23.6,29,18.0,Low,284.83,Rejected,Low,Severe,Community-driven
LOAN-0098,Renewable Energy,449.6,2.58,731,152.0,5,Yes,90.03,6.94,27,43.55,Low,372.86,Rejected,Low,Severe,Decentralized
LOAN-0099,Renewable Energy,262.61,1.95,637,150.69,68,No,88.72,18.58,33,10.31,High,476.32,Rejected,Medium,Severe,Centralized
LOAN-0100,Renewable Energy,86.15,1.44,837,198.26,39,Yes,83.05,-1.26,35,32.95,Medium,446.97,Rejected,Low,Moderate,Decentralized
LOAN-0101,Construction,355.86,1.89,368,48.73,1,No,85.87,-2.82,12,5.27,Low,245.61,Rejected,Low,Severe,Community-driven
LOAN-0102,Agriculture,325.36,1.75,614,168.27,91,Yes,33.07,20.18,36,46.99,High,63.42,Rejected,High,Severe,Community-driven
LOAN-0103,Construction,265.78,0.1,388,194.83,97,Yes,50.1,8.59,25,15.72,Medium,234.17,Rejected,Medium,Moderate,Community-driven
LOAN-0104,Healthcare,317.79,1.85,625,90.09,55,Yes,16.66,15.52,32,10.22,Medium,180.99,Rejected,Medium,Moderate,Decentralized
LOAN-0105,Agriculture,468.96,2.59,710,27.94,85,No,66.4,0.19,7,17.37,High,416.52,Rejected,Low,Severe,Decentralized
LOAN-0106,Agriculture,175.36,1.68,460,137.12,9,No,68.09,22.13,35,39.57,Low,270.8,Approved,Low,Severe,Community-driven
LOAN-0107,Construction,217.81,0.12,567,110.22,92,No,40.33,13.02,28,28.8,High,169.23,Rejected,High,Severe,Decentralized
LOAN-0108,Technology,62.06,1.32,796,101.0,11,Yes,27.16,21.78,26,27.1,Medium,4.45,Rejected,Low,Moderate,Community-driven
LOAN-0109,Renewable Energy,117.77,2.54,660,196.7,22,No,44.55,19.96,14,20.56,Medium,68.09,Rejected,Low,Moderate,Community-driven
LOAN-0110,Renewable Energy,424.43,1.64,552,43.43,96,No,30.08,-2.95,31,8.5,High,9.37,Rejected,Low,Severe,Community-driven
LOAN-0111,Renewable Energy,130.74,2.29,374,85.1,78,No,83.78,20.01,8,46.36,High,237.89,Rejected,High,Severe,Decentralized
LOAN-0112,Healthcare,98.7,0.58,697,149.6,71,No,36.92,19.01,31,6.07,Low,410.38,Rejected,High,Minimal,Centralized
LOAN-0113,Renewable Energy,388.45,2.96,482,76.6,48,No,85.22,14.07,20,12.0,Medium,240.86,Rejected,Low,Moderate,Centralized
LOAN-0114,Renewable Energy,356.48,0.21,836,24.28,80,Yes,71.89,-4.69,35,9.28,Medium,37.06,Rejected,Low,Moderate,Decentralized
LOAN-0115,Construction,253.88,1.69,659,178.74,43,No,47.14,20.01,15,47.54,High,19.26,Rejected,Low,Severe,Community-driven
LOAN-0116,Agriculture,15.28,1.29,302,191.51,5,No,10.64,8.17,22,39.15,High,229.14,Rejected,Low,Severe,Community-driven
LOAN-0117,Technology,102.43,1.29,557,173.84,83,No,29.69,-3.51,6,41.26,High,425.25,Rejected,Low,Severe,Community-driven
LOAN-0118,Agriculture,88.46,1.64,364,170.4,83,No,14.69,15.4,13,15.74,High,67.15,Rejected,High,Severe,Decentralized
LOAN-0119,Technology,362.47,1.75,816,27.24,21,Yes,63.62,9.8,9,2.54,High,217.97,Rejected,Low,Severe,Decentralized
LOAN-0120,Agriculture,343.81,2.89,561,49.71,80,Yes,32.28,0.62,18,23.7,Medium,136.22,Rejected,Low,Moderate,Decentralized
LOAN-0121,Technology,279.89,1.59,439,76.2,80,Yes,89.43,16.19,35,10.36,Low,295.28,Rejected,High,Severe,Decentralized
LOAN-0122,Technology,216.46,1.98,507,56.09,97,Yes,37.55,0.5,17,5.07,High,18.74,Rejected,Low,Severe,Decentralized
LOAN-0123,Construction,215.0,0.5,448,54.09,38,No,78.04,20.62,13,14.49,High,86.45,Rejected,Low,Severe,Community-driven
LOAN-0124,Renewable Energy,118.21,1.56,645,136.6,35,No,65.83,5.05,23,31.92,Low,37.87,Approved,Low,Severe,Decentralized
LOAN-0125,Renewable Energy,99.37,0.71,717,131.19,12,No,10.61,24.98,22,49.44,High,296.77,Rejected,Low,Severe,Centralized
LOAN-0126,Technology,499.93,0.52,329,181.55,58,No,19.47,1.06,9,31.2,Medium,113.88,Rejected,Low,Moderate,Decentralized
LOAN-0127,Renewable Energy,101.38,1.1,702,179.04,88,Yes,55.56,3.42,11,21.69,Low,359.9,Rejected,Low,Severe,Community-driven
LOAN-0128,Technology,313.45,1.89,825,125.88,1,Yes,81.23,24.6,12,19.81,High,83.49,Rejected,Low,Severe,Centralized
LOAN-0129,Healthcare,196.57,1.5,797,80.4,93,No,89.29,4.69,24,27.61,High,336.9,Rejected,Low,Severe,Community-driven
LOAN-0130,Agriculture,82.76,1.0,698,61.96,8,Yes,19.42,24.97,35,13.47,Low,462.17,Rejected,Low,Severe,Community-driven
LOAN-0131,Construction,127.26,0.65,325,88.46,77,No,33.97,16.86,11,19.55,Medium,49.13,Rejected,High,Moderate,Community-driven
LOAN-0132,Agriculture,276.3,0.71,492,6.96,45,No,75.68,3.2,25,48.18,Low,219.54,Rejected,Low,Minimal,Community-driven
LOAN-0133,Healthcare,100.76,2.86,632,82.12,87,No,20.85,14.8,20,33.94,High,424.28,Rejected,High,Severe,Decentralized
LOAN-0134,Construction,390.68,2.08,344,7.04,97,No,87.1,16.55,8,9.16,Low,159.57,Rejected,High,Severe,Community-driven
LOAN-0135,Agriculture,446.67,0.82,651,53.32,16,No,39.74,3.83,16,18.63,Low,125.42,Rejected,Low,Minimal,Community-driven
LOAN-0136,Technology,61.35,1.43,388,60.56,100,No,39.0,13.26,32,45.15,Low,354.51,Rejected,High,Severe,Decentralized
LOAN-0137,Renewable Energy,424.81,2.03,580,80.89,36,Yes,11.1,-0.9,25,43.82,High,282.31,Rejected,Low,Severe,Community-driven
LOAN-0138,Technology,17.41,2.54,760,103.71,37,No,10.18,21.03,26,26.79,High,290.32,Rejected,Low,Severe,Decentralized
LOAN-0139,Healthcare,412.49,1.95,412,90.66,58,No,32.33,-0.42,28,45.26,Medium,388.09,Rejected,Low,Moderate,Centralized
LOAN-0140,Technology,239.2,1.06,482,153.78,31,No,60.09,5.23,29,2.44,High,207.68,Rejected,Low,Severe,Community-driven
LOAN-0141,Renewable Energy,33.35,0.76,450,42.96,86,No,23.32,11.07,16,46.54,Medium,253.79,Rejected,High,Moderate,Decentralized
LOAN-0142,Agriculture,315.83,1.61,697,13.23,71,No,25.72,15.21,7,13.15,High,100.08,Rejected,High,Severe,Community-driven
LOAN-0143,Healthcare,465.51,0.32,674,20.6,54,Yes,15.19,19.17,13,26.33,Low,465.68,Rejected,Medium,Minimal,Centralized
LOAN-0144,Renewable Energy,258.01,1.33,625,41.23,79,No,35.2,-0.13,10,6.68,Medium,39.5,Rejected,Low,Moderate,Community-driven
LOAN-0145,Construction,328.16,1.73,665,119.45,26,No,68.04,-2.76,24,15.85,High,454.46,Approved,Low,Severe,Centralized
LOAN-0146,Healthcare,424.2,2.76,335,18.1,37,No,11.51,17.83,26,29.44,Medium,291.61,Rejected,Low,Moderate,Decentralized
LOAN-0147,Healthcare,469.09,2.33,709,101.3,59,No,80.35,14.83,21,25.36,Low,463.87,Rejected,Medium,Severe,Community-driven
LOAN-0148,Technology,100.34,2.65,849,24.07,6,No,9.43,10.16,35,16.2,Low,345.17,Rejected,Low,Severe,Community-driven
LOAN-0149,Renewable Energy,36.59,1.63,744,197.43,92,Yes,32.27,24.65,8,24.34,Low,221.43,Rejected,High,Severe,Centralized
LOAN-0150,Healthcare,53.06,0.98,743,131.82,23,No,92.4,-1.9,14,40.65,High,347.06,Rejected,Low,Severe,Centralized
LOAN-0151,Agriculture,325.25,2.92,826,77.39,83,Yes,19.37,15.52,15,1.73,High,33.78,Rejected,High,Severe,Community-driven
LOAN-0152,Renewable Energy,375.51,1.64,701,61.6,34,No,95.49,4.04,32,7.36,Low,463.48,Rejected,Low,Severe,Community-driven
LOAN-0153,Construction,221.9,2.8,578,105.39,40,Yes,6.42,21.31,25,13.66,High,193.05,Rejected,Low,Severe,Decentralized
LOAN-0154,Construction,180.56,0.64,385,186.75,20,No,18.36,0.15,35,45.14,Medium,98.45,Rejected,Low,Moderate,Community-driven
LOAN-0155,Agriculture,491.47,1.58,300,139.01,25,No,68.65,19.84,13,16.64,Medium,47.41,Rejected,Low,Moderate,Centralized
LOAN-0156,Agriculture,253.93,1.54,544,20.65,56,No,76.16,22.74,29,13.5,Medium,108.87,Rejected,Medium,Moderate,Decentralized
LOAN-0157,Construction,48.54,1.18,727,4.82,29,No,68.13,19.58,23,35.57,High,196.83,Rejected,Low,Severe,Community-driven
LOAN-0158,Agriculture,296.9,1.14,765,45.67,27,Yes,83.69,19.4,23,32.84,Low,366.94,Rejected,Low,Severe,Decentralized
LOAN-0159,Technology,481.38,1.0,708,73.05,5,No,85.09,6.87,10,44.11,Medium,254.44,Rejected,Low,Moderate,Community-driven
LOAN-0160,Construction,249.57,2.99,574,85.17,10,Yes,50.75,9.78,8,15.3,Low,258.87,Approved,Low,Severe,Community-driven
LOAN-0161,Construction,100.29,2.48,436,164.49,53,No,36.38,0.11,31,36.7,Medium,288.57,Rejected,Low,Moderate,Decentralized
LOAN-0162,Renewable Energy,303.83,1.08,704,45.48,3,No,57.22,8.94,32,12.58,Low,246.79,Rejected,Low,Severe,Centralized
LOAN-0163,Healthcare,81.88,2.81,409,197.41,11,No,46.8,8.48,25,43.66,Medium,199.98,Rejected,Low,Moderate,Community-driven
LOAN-0164,Technology,362.77,0.67,381,133.77,97,No,55.49,-1.27,18,19.35,Medium,258.63,Rejected,Low,Moderate,Community-driven
LOAN-0165,Construction,230.99,2.83,774,110.52,8,No,94.67,12.67,14,23.79,Low,346.19,Rejected,Low,Severe,Centralized
LOAN-0166,Technology,296.38,0.61,337,177.97,74,Yes,65.91,7.97,19,35.56,High,12.85,Approved,Medium,Severe,Decentralized
LOAN-0167,Technology,94.78,1.91,842,57.5,23,No,20.33,18.06,16,20.34,Low,426.99,Rejected,Low,Severe,Centralized
LOAN-0168,Healthcare,276.12,1.26,833,174.44,58,Yes,93.33,12.19,15,5.62,High,337.12,Rejected,Medium,Severe,Centralized
LOAN-0169,Construction,385.97,2.1,340,29.07,40,No,5.08,9.64,25,32.16,Low,223.28,Rejected,Low,Severe,Centralized
LOAN-0170,Renewable Energy,494.1,0.95,482,183.09,96,No,29.69,21.76,22,39.94,Low,298.46,Rejected,High,Minimal,Centralized
LOAN-0171,Construction,474.64,0.12,756,154.11,37,No,50.52,3.12,19,14.85,High,169.5,Rejected,Low,Severe,Centralized
LOAN-0172,Construction,87.81,1.31,316,27.36,42,No,95.32,22.92,19,46.77,Medium,473.24,Approved,Low,Moderate,Centralized
LOAN-0173,Renewable Energy,436.26,1.4,482,24.34,95,Yes,19.6,5.08,26,29.38,High,40.68,Rejected,Medium,Severe,Decentralized
LOAN-0174,Agriculture,313.39,2.49,693,35.77,52,Yes,5.23,5.67,14,7.65,High,317.25,Rejected,Medium,Severe,Community-driven
LOAN-0175,Construction,351.92,2.75,781,128.79,89,No,40.33,17.4,21,21.31,Medium,94.84,Rejected,High,Moderate,Community-driven
LOAN-0176,Renewable Energy,168.54,2.84,328,154.48,78,Yes,78.22,14.18,18,17.15,Medium,164.87,Rejected,High,Moderate,Centralized
LOAN-0177,Healthcare,270.43,2.72,621,97.76,93,Yes,54.23,21.2,7,23.94,Medium,158.62,Rejected,High,Moderate,Decentralized
LOAN-0178,Healthcare,269.02,2.64,676,178.42,26,No,15.46,-0.58,22,29.21,High,87.75,Rejected,Low,Severe,Community-driven
LOAN-0179,Technology,239.29,2.41,638,111.74,96,No,7.81,0.61,8,19.02,Low,318.71,Rejected,Low,Severe,Centralized
LOAN-0180,Healthcare,208.76,2.89,711,168.43,56,No,99.49,-0.58,11,1.81,Medium,412.07,Rejected,Low,Moderate,Decentralized
LOAN-0181,Renewable Energy,320.44,1.17,514,68.84,57,Yes,46.6,12.05,25,19.75,Medium,138.47,Rejected,Medium,Moderate,Community-driven
LOAN-0182,Agriculture,181.66,0.85,587,113.8,84,Yes,37.59,21.24,32,2.51,Medium,334.0,Approved,High,Moderate,Centralized
LOAN-0183,Construction,90.89,0.71,850,198.51,62,No,88.3,-2.53,31,27.94,High,342.5,Rejected,Low,Severe,Centralized
LOAN-0184,Construction,10.89,1.43,329,122.74,3,No,36.61,7.68,20,29.76,Low,48.13,Rejected,Low,Severe,Centralized
LOAN-0185,Technology,402.21,2.39,479,52.4,95,No,47.86,10.6,16,43.74,Medium,111.3,Rejected,High,Moderate,Centralized
LOAN-0186,Technology,126.39,2.45,798,194.39,4,Yes,59.59,-3.02,21,47.46,Low,213.04,Approved,Low,Severe,Decentralized
LOAN-0187,Agriculture,370.94,0.42,782,124.99,35,Yes,71.98,19.89,18,45.37,Low,39.23,Rejected,Low,Minimal,Centralized
LOAN-0188,Renewable Energy,227.24,1.95,751,1.63,96,No,42.05,10.12,20,30.83,Medium,363.71,Rejected,High,Moderate,Decentralized
LOAN-0189,Technology,68.02,2.91,446,115.98,33,Yes,72.53,18.2,35,3.81,Medium,46.06,Rejected,Low,Moderate,Decentralized
